,attentive cat,img1,img2
50,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene1722.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face2174.jpg
51,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene1184.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\female\face745.jpg
52,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene3561.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face1280.jpg
53,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene468.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face3171.jpg
54,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene698.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face3506.jpg
55,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene1233.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\female\face382.jpg
56,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene3567.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face2411.jpg
57,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\outdoor\scene180.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face2908.jpg
58,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene665.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face1155.jpg
59,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene3149.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face3165.jpg
60,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene1898.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face1467.jpg
61,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene480.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face3085.jpg
62,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene1388.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face3047.jpg
63,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene1293.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face2496.jpg
64,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene733.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\female\face2415.jpg
65,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene159.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face3358.jpg
66,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene3280.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face2299.jpg
67,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene3160.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\female\face1487.jpg
68,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene3546.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face2114.jpg
69,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene3187.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face57.jpg
70,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene104.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face1547.jpg
71,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\outdoor\scene780.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face461.jpg
72,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\outdoor\scene390.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face1738.jpg
73,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene820.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face3331.jpg
74,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene3138.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face29.jpg
75,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene514.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face2574.jpg
76,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene3549.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face1279.jpg
77,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene548.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face3367.jpg
78,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene1202.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face493.jpg
79,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene3110.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face1231.jpg
80,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\outdoor\scene1408.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face701.jpg
81,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene1323.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face3422.jpg
82,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene638.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face1652.jpg
83,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene3482.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face2784.jpg
84,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene1938.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face2333.jpg
85,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene3383.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face1523.jpg
86,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene704.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face1495.jpg
87,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene3305.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face1702.jpg
88,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene727.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face3185.jpg
89,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene3363.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\female\face3536.jpg
90,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene3537.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face3634.jpg
91,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene3563.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face2728.jpg
92,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene3435.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face2427.jpg
93,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene3556.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face3561.jpg
94,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene1621.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face1086.jpg
95,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\outdoor\scene315.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face186.jpg
96,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene503.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face1438.jpg
97,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene3097.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face2632.jpg
98,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene3516.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face2820.jpg
99,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene997.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face3496.jpg
100,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene3212.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face272.jpg
101,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene49.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face2138.jpg
102,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene188.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face186.jpg
103,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene1231.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face3112.jpg
104,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene2958.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face1479.jpg
