,attentive cat,img1,img2
50,male,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face1237.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\outdoor\scene821.jpg
51,male,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face3060.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene3404.jpg
52,male,C:\Users\Greta\Documents\GitHub\closed_loop\data\female\face3075.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene3052.jpg
53,male,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face2436.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene188.jpg
54,male,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face2475.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene736.jpg
55,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene3059.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face598.jpg
56,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene3226.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face2483.jpg
57,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene1956.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face2976.jpg
58,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene3462.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\female\face1178.jpg
59,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene358.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face10.jpg
60,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene1287.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face2203.jpg
61,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene997.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face3438.jpg
62,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene1046.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face497.jpg
63,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene669.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face1080.jpg
64,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\outdoor\scene1059.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face1500.jpg
65,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene3251.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face2665.jpg
66,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene778.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face2658.jpg
67,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene460.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face305.jpg
68,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene1743.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face188.jpg
69,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene1353.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face1692.jpg
70,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene665.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face1035.jpg
71,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene2809.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face3645.jpg
72,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene3091.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face953.jpg
73,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene1519.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face2333.jpg
74,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\outdoor\scene1442.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face3246.jpg
75,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene1860.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face1252.jpg
76,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene1486.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\female\face1017.jpg
