,attentive cat,img1,img2
11,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene315.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face3583.jpg
12,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene3079.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face1894.jpg
13,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene1860.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face2838.jpg
14,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene1861.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face3448.jpg
15,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene3370.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\female\face2776.jpg
16,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\outdoor\scene1241.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face2272.jpg
17,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene3212.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face1591.jpg
18,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene1281.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face2001.jpg
19,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene480.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face607.jpg
20,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene365.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face2684.jpg
21,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene3115.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face1635.jpg
22,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene3014.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face3137.jpg
23,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene441.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\female\face2267.jpg
24,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene692.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face3668.jpg
25,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene638.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face1642.jpg
26,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene1311.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face561.jpg
27,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene3488.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face2714.jpg
