,attentive cat,img1,img2
50,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene3166.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face23.jpg
51,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene3229.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face2550.jpg
52,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene1325.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face3558.jpg
53,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene1318.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face1401.jpg
54,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene1269.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face280.jpg
55,male,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face1817.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene3339.jpg
56,male,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face1479.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene3443.jpg
57,male,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face1367.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene3533.jpg
58,male,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face3027.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\outdoor\scene225.jpg
59,male,C:\Users\Greta\Documents\GitHub\closed_loop\data\female\face2360.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene1281.jpg
60,male,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face2451.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene1488.jpg
61,male,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face32.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene3335.jpg
62,male,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face3447.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene282.jpg
63,male,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face3591.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene3062.jpg
64,male,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face3613.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene638.jpg
65,male,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face3037.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene888.jpg
66,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene3329.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face1970.jpg
67,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene3593.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face1035.jpg
68,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene533.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\female\face694.jpg
69,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\outdoor\scene522.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face3611.jpg
70,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene3364.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face2971.jpg
71,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene1218.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face229.jpg
72,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene721.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face1238.jpg
73,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene3180.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face2493.jpg
74,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene1386.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face1298.jpg
75,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene790.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face2347.jpg
76,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene804.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face1198.jpg
77,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene1189.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face1514.jpg
78,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\outdoor\scene1494.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face1280.jpg
79,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene572.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face35.jpg
80,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene3603.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face248.jpg
81,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene3251.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face2530.jpg
82,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene808.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face3183.jpg
83,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene614.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face1642.jpg
84,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene3298.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face954.jpg
85,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene3434.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face3130.jpg
86,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene3034.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face2296.jpg
87,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene1261.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\female\face65.jpg
88,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene3608.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face2382.jpg
89,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene3516.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face3665.jpg
90,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene108.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face79.jpg
91,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene244.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face3534.jpg
92,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene3301.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face2281.jpg
93,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene499.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face1305.jpg
94,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\outdoor\scene1039.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\female\face2611.jpg
95,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene1115.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face2652.jpg
96,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene3083.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face1557.jpg
97,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene3428.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face1460.jpg
98,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene2447.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face1584.jpg
