,attentive cat,img1,img2
50,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene1480.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\female\face398.jpg
51,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene3413.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face2713.jpg
52,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene1593.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\female\face3051.jpg
53,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\outdoor\scene1099.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face2027.jpg
54,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene1604.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face3606.jpg
55,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene259.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face1204.jpg
56,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene1501.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\female\face1103.jpg
57,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene142.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face3062.jpg
58,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene515.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\female\face2709.jpg
59,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\outdoor\scene1228.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face1551.jpg
60,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene3526.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face78.jpg
61,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene3366.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face1182.jpg
62,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene856.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face2418.jpg
63,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene1276.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face3580.jpg
64,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene3543.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face1534.jpg
65,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene2871.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face3135.jpg
66,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene3084.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face72.jpg
67,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene3560.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face878.jpg
68,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene3546.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face664.jpg
69,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene3264.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face2823.jpg
70,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene3495.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face3214.jpg
71,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene3336.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face3343.jpg
72,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene466.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face133.jpg
73,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene3277.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face527.jpg
74,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene1390.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face2411.jpg
75,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene3317.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face1474.jpg
76,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene159.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face3611.jpg
77,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene1956.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face2551.jpg
78,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene3352.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face1121.jpg
79,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene113.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face2938.jpg
80,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene728.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face1738.jpg
81,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene3437.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\female\face3298.jpg
82,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene1198.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face1763.jpg
83,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene3416.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face1617.jpg
84,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\outdoor\scene1005.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face2116.jpg
85,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene80.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face1870.jpg
86,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene2609.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face1374.jpg
87,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene3138.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face3462.jpg
88,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene3507.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face2900.jpg
89,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene3097.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face229.jpg
90,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene3280.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face3653.jpg
91,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene635.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face1415.jpg
92,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene3090.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face1286.jpg
93,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene2281.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face1335.jpg
94,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene1086.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face1440.jpg
95,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\outdoor\scene127.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face2572.jpg
96,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene2276.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face1282.jpg
97,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene723.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face483.jpg
98,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene1510.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face2502.jpg
99,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\outdoor\scene409.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face2180.jpg
