Marker,Timestamp
1.0,11533.374662313
1.0,11533.390592635
1.0,11533.407958669
1.0,11533.423503897
1.0,11533.440689054
1.0,11533.457391021
1.0,11533.474303768
1.0,11533.490505405
1.0,11533.507829502
1.0,11533.52380322
1.0,11533.540585414
1.0,11533.557264042
1.0,11533.574362407
1.0,11533.590227453
1.0,11533.607547538
1.0,11533.623581426
1.0,11533.640646971
1.0,11533.657292778
1.0,11533.674087372
1.0,11533.690468428
1.0,11533.707038383
1.0,11533.723818025
1.0,11533.740140369
1.0,11533.757119851
1.0,11533.773988838
1.0,11533.790830838
1.0,11533.80748868
1.0,11533.823498865
1.0,11533.840364569
1.0,11533.857324724
1.0,11533.873848731
1.0,11533.890152841
1.0,11533.907045896
1.0,11533.923663623
1.0,11533.940086252
1.0,11533.956965084
1.0,11533.973886584
1.0,11533.990434659
1.0,11534.00683176
1.0,11534.023190571
1.0,11534.047382896
1.0,11534.056769183
1.0,11534.073158991
1.0,11534.089879191
1.0,11534.106595745
1.0,11534.123195968
1.0,11534.140124761
1.0,11534.157121383
1.0,11534.173191373
1.0,11534.189970651
1.0,11534.206472413
1.0,11534.223378961
1.0,11534.239692917
1.0,11534.257030506
1.0,11534.273256577
1.0,11534.289953803
1.0,11534.306448272
1.0,11534.323002182
1.0,11534.340041105
1.0,11534.35631823
1.0,11534.372942521
1.0,11534.389733104
1.0,11534.406450022
1.0,11534.422797163
1.0,11534.439611084
1.0,11534.456676629
1.0,11534.47310728
1.0,11534.489702398
1.0,11534.506211818
1.0,11534.522862002
1.0,11534.539725154
1.0,11534.556183885
1.0,11534.572871994
1.0,11534.589881014
1.0,11534.606017375
1.0,11534.622484858
1.0,11534.639268876
1.0,11534.656845326
1.0,11534.672616286
1.0,11534.689533045
1.0,11534.706032983
1.0,11534.722612056
1.0,11534.739354866
1.0,11534.755788434
1.0,11534.772588498
1.0,11534.789605177
1.0,11534.806269582
1.0,11534.822545613
1.0,11534.839365733
1.0,11534.856288691
1.0,11534.872707673
1.0,11534.889617503
1.0,11534.90614151
1.0,11534.922419363
1.0,11534.939046937
1.0,11534.955845177
1.0,11534.972742244
1.0,11534.989073704
1.0,11535.006227864
1.0,11535.022095097
1.0,11535.048395225
1.0,11535.055730962
1.0,11535.072119676
1.0,11535.089077278
1.0,11535.105781433
1.0,11535.122317839
1.0,11535.139565719
1.0,11535.155854513
1.0,11535.172204207
1.0,11535.189718298
1.0,11535.206008186
1.0,11535.222299897
1.0,11535.238858912
1.0,11535.255807762
1.0,11535.272582299
1.0,11535.289166112
1.0,11535.305663863
1.0,11535.322668142
1.0,11535.33944122
1.0,11535.355585969
1.0,11535.3729221
1.0,11535.389168956
1.0,11535.405645556
1.0,11535.422016401
1.0,11535.438805524
1.0,11535.454967412
1.0,11535.472875714
1.0,11535.488973419
1.0,11535.506000309
1.0,11535.521835086
1.0,11535.539136938
1.0,11535.556035098
1.0,11535.57251571
1.0,11535.588549962
1.0,11535.605728555
1.0,11535.62167784
1.0,11535.638985162
1.0,11535.655989806
1.0,11535.672347888
1.0,11535.689451723
1.0,11535.705836061
1.0,11535.722264888
1.0,11535.73842787
1.0,11535.755605369
1.0,11535.77216949
1.0,11535.788914124
1.0,11535.805815201
1.0,11535.821959585
1.0,11535.838469005
1.0,11535.855841968
