P7,P4,Cz,Pz,P3,P8,O1,O2,T8,F8,C4,F4,Fp2,Fz,C3,F3,Fp1,T7,F7,Oz,PO3,AF3,FC5,FC1,CP5,CP1,CP2,CP6,AF4,FC2,FC6,PO4,Timestamp
-31071.71484375,14212.5361328125,23067.44140625,1607.9449462890625,26932.8828125,-6408.68310546875,-58429.57421875,-52907.2109375,20515.94140625,-462.73199462890625,10542.3349609375,17273.158203125,-23618.37109375,44746.1875,-400000.0625,20611.49609375,10841.640625,-30878.982421875,5369.9072265625,-16485.6328125,36867.90234375,16003.328125,27368.072265625,-23198.951171875,-4078.37109375,35412.5625,-400000.0625,11419.3564453125,37221.06640625,-25477.236328125,15536.15625,2439.14697265625,11180.093466365
-31079.009765625,14206.3916015625,23054.478515625,1606.041015625,26921.748046875,-6424.46484375,-58438.8828125,-52918.61328125,20509.947265625,-480.3810119628906,10535.7119140625,17287.76953125,-23569.595703125,44782.49609375,-400000.0625,20617.197265625,10892.2861328125,-30875.796875,5407.6337890625,-16498.140625,36869.50390625,16021.9365234375,27406.037109375,-23169.419921875,-4096.1640625,35410.57421875,-400000.0625,11418.900390625,37243.890625,-25497.994140625,15568.359375,2417.3740234375,11180.095466364999
-31065.09375,14214.2880859375,23110.55078125,1607.3060302734375,26941.3359375,-6393.4619140625,-58426.015625,-52901.09765625,20535.607421875,-416.03399658203125,10544.9208984375,17334.8125,-23576.08984375,44792.453125,-400000.0625,20634.0,10811.533203125,-30857.9296875,5436.17919921875,-16478.3203125,36883.1796875,16042.427734375,27362.986328125,-23135.0234375,-4065.361083984375,35427.32421875,-400000.0625,11439.3330078125,37265.96875,-25458.830078125,15576.80078125,2456.40087890625,11180.097466365
-31060.4609375,14213.51953125,23143.763671875,1599.5899658203125,26951.62109375,-6375.05322265625,-58422.1796875,-52892.62109375,20545.798828125,-375.33099365234375,10545.6435546875,17342.498046875,-23628.59375,44761.83203125,-400000.0625,20632.041015625,10718.814453125,-30857.443359375,5414.119140625,-16469.01953125,36882.0703125,16033.666015625,27303.564453125,-23147.525390625,-4045.712890625,35430.4921875,-400000.0625,11443.736328125,37253.1484375,-25433.671875,15547.5849609375,2482.81298828125,11180.099466365
-31045.806640625,14227.177734375,23158.806640625,1612.6710205078125,26967.443359375,-6357.0380859375,-58406.31640625,-52874.89453125,20558.1484375,-358.42999267578125,10559.0947265625,17340.720703125,-23651.26953125,44745.69140625,-400000.0625,20637.126953125,10705.080078125,-30848.767578125,5395.30322265625,-16454.212890625,36891.47265625,16033.0615234375,27295.4453125,-23160.73046875,-4026.794921875,35441.609375,-400000.0625,11451.88671875,37246.8828125,-25414.52734375,15533.005859375,2502.84912109375,11180.101466365
-31055.1953125,14222.9482421875,23124.1875,1613.5880126953125,26954.70703125,-6375.951171875,-58414.38671875,-52886.40625,20542.810546875,-400.3680114746094,10553.064453125,17313.169921875,-23647.9921875,44738.95703125,-400000.0625,20626.05078125,10755.7841796875,-30859.296875,5375.1298828125,-16466.8515625,36884.234375,16020.2998046875,27323.830078125,-23181.861328125,-4046.2490234375,35431.7421875,-400000.0625,11437.607421875,37233.3359375,-25441.517578125,15524.7060546875,2477.926025390625,11180.103466364999
-31064.09765625,14214.8193359375,23111.53515625,1608.0,26944.3984375,-6387.77001953125,-58423.5625,-52897.96484375,20533.40234375,-415.4649963378906,10545.9658203125,17311.521484375,-23625.15234375,44750.9765625,-400000.0625,20621.671875,10798.10546875,-30863.986328125,5387.01806640625,-16477.599609375,36879.4609375,16021.3720703125,27347.78125,-23176.912109375,-4058.68408203125,35426.36328125,-400000.0625,11430.6689453125,37236.57421875,-25457.05078125,15534.623046875,2462.47412109375,11180.105466365
-31047.470703125,14225.9287109375,23156.990234375,1613.6939697265625,26965.55859375,-6358.990234375,-58409.36328125,-52878.46484375,20556.798828125,-362.1679992675781,10558.77734375,17343.255859375,-23626.9921875,44759.3046875,-400000.0625,20636.298828125,10756.20703125,-30847.576171875,5408.294921875,-16456.634765625,36892.07421875,16036.38671875,27325.150390625,-23155.064453125,-4029.113037109375,35441.3125,-400000.0625,11448.6474609375,37250.4609375,-25419.794921875,15542.9716796875,2499.35400390625,11180.107466365
-31040.744140625,14230.236328125,23168.154296875,1616.343994140625,26973.818359375,-6348.2568359375,-58402.328125,-52869.12890625,20563.419921875,-349.0039978027344,10565.32421875,17338.400390625,-23653.619140625,44742.5,-400000.0625,20636.072265625,10720.09375,-30845.21875,5391.546875,-16449.77734375,36893.50390625,16028.859375,27303.72265625,-23166.912109375,-4018.322998046875,35443.71875,-400000.0625,11451.564453125,37242.71484375,-25405.107421875,15529.9169921875,2514.10107421875,11180.109466365
-31041.1640625,14232.8408203125,23142.755859375,1623.552001953125,26969.611328125,-6358.63720703125,-58401.60546875,-52871.37109375,20556.279296875,-382.6260070800781,10567.1904296875,17319.56640625,-23644.048828125,44745.00390625,-400000.0625,20633.427734375,10765.802734375,-30846.2265625,5383.09423828125,-16454.76953125,36894.5859375,16025.2265625,27335.263671875,-23177.060546875,-4029.7490234375,35442.7734375,-400000.0625,11447.9853515625,37238.99609375,-25421.65234375,15534.3212890625,2496.840087890625,11180.111466365
