Marker,Timestamp

1.0,100347.050063598
1.0,100347.067860674
1.0,100347.083321663
1.0,100347.099763255
1.0,100347.117267135
1.0,100347.133239393
1.0,100347.150122967
1.0,100347.16662327
1.0,100347.184196073
1.0,100347.200011523
1.0,100347.218012086
1.0,100347.234440549
1.0,100347.25036613
1.0,100347.267110399
1.0,100347.283365278
1.0,100347.300589455
1.0,100347.316349839
1.0,100347.333469355
1.0,100347.350860187
1.0,100347.366863443
1.0,100347.38335463
1.0,100347.399644882
1.0,100347.416955122
1.0,100347.440961099
1.0,100347.44979892
1.0,100347.466778037
1.0,100347.484351205
1.0,100347.499853037
1.0,100347.516449978
1.0,100347.532957575
1.0,100347.549805775
1.0,100347.566577759
1.0,100347.582707921
1.0,100347.599986798
1.0,100347.616538521
1.0,100347.632802881
1.0,100347.649659834
1.0,100347.666535749
1.0,100347.683026571
1.0,100347.6993821
1.0,100347.717243358
1.0,100347.732746649
1.0,100347.750178689
1.0,100347.766443049
1.0,100347.783283592
1.0,100347.799530448
1.0,100347.816326865
1.0,100347.833687794
1.0,100347.849221717
1.0,100347.866395569
1.0,100347.883475336
1.0,100347.899767047
1.0,100347.916107624
1.0,100347.93295546
1.0,100347.950306907
1.0,100347.966395496
1.0,100347.982667515
1.0,100348.000204945
1.0,100348.01580378
1.0,100348.032562636
1.0,100348.049781342
1.0,100348.065825806
1.0,100348.082413995
1.0,100348.099408794
1.0,100348.116042932
1.0,100348.132498016
1.0,100348.148940336
1.0,100348.166548148
1.0,100348.182490139
1.0,100348.199257382
1.0,100348.216415553
1.0,100348.232664598
1.0,100348.249108742
1.0,100348.265727928
1.0,100348.283249677
1.0,100348.299273719
1.0,100348.31561612
1.0,100348.332719955
1.0,100348.349772371
1.0,100348.365659297
1.0,100348.382439668
1.0,100348.399467287
1.0,100348.415341084
1.0,100348.441400893
1.0,100348.449274886
1.0,100348.466085161
1.0,100348.482418809
1.0,100348.499035807
1.0,100348.515442755
1.0,100348.532656356
1.0,100348.548920717
1.0,100348.565772199
1.0,100348.582663066
1.0,100348.59894092
1.0,100348.615677166
1.0,100348.632634403
1.0,100348.649559549
1.0,100348.665624799
1.0,100348.682971141
1.0,100348.699055718
1.0,100348.715076114
1.0,100348.731831323
1.0,100348.749725402
1.0,100348.765204624
1.0,100348.781933577
1.0,100348.799218289
1.0,100348.815008941
1.0,100348.831711273
1.0,100348.848636419
1.0,100348.865778909
1.0,100348.881697196
1.0,100348.898295232
1.0,100348.915666372
1.0,100348.931574813
1.0,100348.948756688
1.0,100348.965814574
1.0,100348.981499836
1.0,100348.998575227
1.0,100349.015440567
1.0,100349.031474455
1.0,100349.048719053
1.0,100349.065045773
1.0,100349.082300582
1.0,100349.098155417
1.0,100349.115032791
1.0,100349.131653436
1.0,100349.148844792
1.0,100349.165125199
1.0,100349.181690049
1.0,100349.199250453
1.0,100349.214767237
1.0,100349.231441853
1.0,100349.248189769
1.0,100349.265472658
1.0,100349.281848608
1.0,100349.297907294
1.0,100349.314720486
1.0,100349.332593049
1.0,100349.348205012
1.0,100349.36482274
1.0,100349.381549504
1.0,100349.397959369
1.0,100349.415291124
1.0,100349.440053067
1.0,100349.44794347
1.0,100349.464560468
1.0,100349.481180019
1.0,100349.498227695
1.0,100349.514387759
1.0,100349.531436529
1.0,100349.548869663
1.0,100349.564847027
1.0,100349.581090237
1.0,100349.597826118
1.0,100349.614696199
1.0,100349.631842701
1.0,100349.647868201
1.0,100349.664500881
1.0,100349.681362938
1.0,100349.697935082
1.0,100349.71442481
1.0,100349.7308179
1.0,100349.748653267
1.0,100349.764454494
1.0,100349.780989806
1.0,100349.79856735
1.0,100349.81471064
1.0,100349.830949109
1.0,100349.847668215
1.0,100349.865475867
1.0,100349.880940867
1.0,100349.897549114
1.0,100349.91496292
1.0,100349.93084474
1.0,100349.947513522
1.0,100349.964124685
1.0,100349.981716451
1.0,100349.9975443
1.0,100350.014112432
1.0,100350.031645851
1.0,100350.047734075
1.0,100350.064172384
1.0,100350.081133268
1.0,100350.097872067
1.0,100350.113969408
1.0,100350.131434633
1.0,100350.148003495
1.0,100350.163921052
1.0,100350.180470222
1.0,100350.197762592
1.0,100350.214177198
1.0,100350.230541114
1.0,100350.248082555
1.0,100350.264749878
1.0,100350.280604348
1.0,100350.297113404
1.0,100350.313939359
1.0,100350.331074191
1.0,100350.347431908
1.0,100350.363818434
1.0,100350.380329313
1.0,100350.397917797
1.0,100350.413890785
1.0,100350.440602262
1.0,100350.447141556
1.0,100350.464276389
1.0,100350.480278915
1.0,100350.496896643
1.0,100350.513750678
1.0,100350.530628781
1.0,100350.547210406
1.0,100350.563892316
1.0,100350.580711708
1.0,100350.597648523
1.0,100350.613480748
1.0,100350.630190373
1.0,100350.646992624
1.0,100350.664223365
1.0,100350.680282781
1.0,100350.697121864
1.0,100350.714247215
1.0,100350.73034018
1.0,100350.747095754
1.0,100350.764518677
1.0,100350.780771368
1.0,100350.79663386
1.0,100350.8146935
1.0,100350.830482694
1.0,100350.84707453
1.0,100350.863657614
1.0,100350.880826725
1.0,100350.896865354
1.0,100350.913483082
1.0,100350.931151793
1.0,100350.946690093
1.0,100350.963699843
1.0,100350.981196429
1.0,100350.997370716
1.0,100351.014752796
1.0,100351.030232748
1.0,100351.047478805
1.0,100351.063435747
1.0,100351.080193509
1.0,100351.097322871
1.0,100351.113282002
1.0,100351.1299599
1.0,100351.147167302
1.0,100351.163035629
1.0,100351.180230997
1.0,100351.197389168
1.0,100351.213699843
1.0,100351.229722061
1.0,100351.246597612
1.0,100351.264035851
1.0,100351.280020873
1.0,100351.296909917
1.0,100351.314174937
1.0,100351.329883538
1.0,100351.346254018
1.0,100351.36435049
1.0,100351.380030282
1.0,100351.396683383
1.0,100351.413771537
1.0,100351.438905809
1.0,100351.446541307
1.0,100351.463745791
1.0,100351.479745036
1.0,100351.496828449
1.0,100351.513154439
1.0,100351.529641979
1.0,100351.546970452
1.0,100351.563222779
1.0,100351.579604199
1.0,100351.596522052
1.0,100351.613787801
1.0,100351.629525576
1.0,100351.646214415
1.0,100351.662991869
1.0,100351.680010735
1.0,100351.695815245
1.0,100351.712682408
1.0,100351.729658973
1.0,100351.747067674
1.0,100351.7625035
1.0,100351.779092419
1.0,100351.796927421
1.0,100351.813146563
1.0,100351.829363881
1.0,100351.846168685
1.0,100351.863700645
1.0,100351.879208312
1.0,100351.895944193
1.0,100351.91352356
1.0,100351.92908921
1.0,100351.945755074
1.0,100351.963407011
1.0,100351.979016057
1.0,100351.996067744
1.0,100352.012837904
1.0,100352.029486265
1.0,100352.045830488
1.0,100352.06327201
1.0,100352.079474376
1.0,100352.095722327
1.0,100352.112520202
1.0,100352.129153246
1.0,100352.14653095
1.0,100352.162536758
1.0,100352.179611785
1.0,100352.196641956
1.0,100352.212205053
1.0,100352.228815487
1.0,100352.246362763
1.0,100352.262240207
1.0,100352.278628192
1.0,100352.296412869
1.0,100352.312142257
1.0,100352.328607916
1.0,100352.346299967
1.0,100352.361998357
1.0,100352.378845463
1.0,100352.395681629
1.0,100352.413007914
1.0,100352.436620047
1.0,100352.445454585
1.0,100352.462916163
1.0,100352.478610177
1.0,100352.495565591
1.0,100352.512658851
1.0,100352.528979735
1.0,100352.546033611
1.0,100352.562005505
1.0,100352.578768007
1.0,100352.596177437
1.0,100352.612179964
1.0,100352.628492826
1.0,100352.646276409
1.0,100352.661797204
1.0,100352.678627535
1.0,100352.695540647
1.0,100352.712144882
1.0,100352.728566052
1.0,100352.745344235
1.0,100352.762756583
1.0,100352.778384226
1.0,100352.795930408
1.0,100352.812988295
1.0,100352.828474811
1.0,100352.845395946
1.0,100352.862593501
1.0,100352.878193065
1.0,100352.894899773
1.0,100352.912402924
1.0,100352.928442282
1.0,100352.9449156
1.0,100352.962011777
1.0,100352.978813664
1.0,100352.994870891
1.0,100353.012441141
1.0,100353.028457525
1.0,100353.045412575
1.0,100353.062108707
1.0,100353.078465329
1.0,100353.095249347
1.0,100353.111839725
1.0,100353.12823245
1.0,100353.145683088
1.0,100353.161470094
1.0,100353.179344845
1.0,100353.194762802
1.0,100353.211658045
1.0,100353.227858224
1.0,100353.245174663
1.0,100353.261221314
1.0,100353.277901766
1.0,100353.295200336
1.0,100353.311451933
1.0,100353.328207142
1.0,100353.34579672
1.0,100353.361851394
1.0,100353.378363732
1.0,100353.39468097
1.0,100353.412319779
1.0,100353.43594905
1.0,100353.444861264
1.0,100353.462151811
1.0,100353.478128446
1.0,100353.494619632
1.0,100353.511191047
1.0,100353.527787259
1.0,100353.544598627
1.0,100353.560928264
1.0,100353.579099129
1.0,100353.595280345
1.0,100353.611009367
1.0,100353.628000883
1.0,100353.644975625
1.0,100353.661947084
1.0,100353.67772242
1.0,100353.695677035
1.0,100353.711348439
1.0,100353.727709073
1.0,100353.74438369
1.0,100353.761728573
1.0,100353.777687703
1.0,100353.795016176
1.0,100353.811937676
1.0,100353.827723587
1.0,100353.84430193
1.0,100353.861712454
1.0,100353.877611049
1.0,100353.894446851
1.0,100353.911880349
1.0,100353.927670272
1.0,100353.943958701
1.0,100353.961434137
1.0,100353.977442498
1.0,100353.993857833
1.0,100354.010652791
1.0,100354.028336819
1.0,100354.043820053
1.0,100354.060664607
1.0,100354.078065649
1.0,100354.093934341
1.0,100354.110573949
1.0,100354.127653716
1.0,100354.144738224
1.0,100354.160670368
1.0,100354.17770601
1.0,100354.194410529
1.0,100354.210382059
1.0,100354.226932687
1.0,100354.244370926
1.0,100354.260946717
1.0,100354.277068855
1.0,100354.293770458
1.0,100354.311364412
1.0,100354.327407052
1.0,100354.343805247
1.0,100354.361046564
1.0,100354.37721064
1.0,100354.393625975
1.0,100354.410753513
1.0,100354.434736152
1.0,100354.443755214
1.0,100354.46019243
1.0,100354.476920653
1.0,100354.493600739
1.0,100354.510058011
1.0,100354.527654154
1.0,100354.544047973
1.0,100354.560066545
1.0,100354.576718552
1.0,100354.594508699
1.0,100354.610190679
1.0,100354.6268828
1.0,100354.643883068
1.0,100354.660259748
1.0,100354.677212609
1.0,100354.693904365
1.0,100354.710185501
1.0,100354.726721177
1.0,100354.743309367
1.0,100354.760811423
1.0,100354.776619215
1.0,100354.793461216
1.0,100354.811532161
1.0,100354.826801697
1.0,100354.844089327
1.0,100354.860517425
1.0,100354.87665488
1.0,100354.89325948
1.0,100354.91080785
1.0,100354.926463573
1.0,100354.943165175
1.0,100354.959924031
1.0,100354.977168265
1.0,100354.993026381
1.0,100355.009952257
1.0,100355.02648064
1.0,100355.044001295
1.0,100355.059983764
1.0,100355.076936625
1.0,100355.093856666
1.0,100355.109682327
1.0,100355.126262493
1.0,100355.144011068
1.0,100355.159792968
1.0,100355.176612724
1.0,100355.193762508
1.0,100355.209916738
1.0,100355.226033042
1.0,100355.243225857
1.0,100355.26036543
1.0,100355.276165199
1.0,100355.292905091
1.0,100355.310199285
1.0,100355.326013641
1.0,100355.3426744
1.0,100355.359493427
1.0,100355.3767548
1.0,100355.392898819
1.0,100355.409456741
1.0,100355.434883115
1.0,100355.442572584
1.0,100355.45938687
1.0,100355.475937862
1.0,100355.492252548
1.0,100355.50936477
1.0,100355.525739627
1.0,100355.544519858
1.0,100355.559426911
1.0,100355.57614237
1.0,100355.593587903
1.0,100355.609559797
1.0,100355.625890528
1.0,100355.642596506
1.0,100355.65991258
1.0,100355.675912919
1.0,100355.692640777
1.0,100355.710382424
1.0,100355.726147913
1.0,100355.742580023
1.0,100355.759581385
1.0,100355.775604698
1.0,100355.792397468
1.0,100355.809612164
1.0,100355.82577004
1.0,100355.842375369
1.0,100355.858792528
1.0,100355.876523963
1.0,100355.89295352
1.0,100355.909213869
1.0,100355.926807823
1.0,100355.943078384
1.0,100355.958910973
1.0,100355.976605941
1.0,100355.992368149
1.0,100356.008786766
1.0,100356.025718111
1.0,100356.043075029
1.0,100356.059054216
1.0,100356.075560719
1.0,100356.092579585
1.0,100356.108722146
1.0,100356.125532056
1.0,100356.142489657
1.0,100356.159558484
1.0,100356.175835608
1.0,100356.192630931
1.0,100356.209365354
1.0,100356.225946979
1.0,100356.242408263
