P7,P4,Cz,Pz,P3,P8,O1,O2,T8,F8,C4,F4,Fp2,Fz,C3,F3,Fp1,T7,F7,Oz,PO3,AF3,FC5,FC1,CP5,CP1,CP2,CP6,AF4,FC2,FC6,PO4,Timestamp
-31534.59375,14523.978515625,22134.28515625,2491.264892578125,25315.439453125,-6455.77880859375,-59406.8359375,-56492.13671875,22135.89453125,-3042.31298828125,7763.25,18220.353515625,-25229.814453125,44723.19140625,-330613.90625,19005.486328125,10065.5126953125,-34563.1953125,921.60498046875,-5561.40380859375,37245.34375,16260.181640625,25948.634765625,-23368.357421875,-1932.2979736328125,35137.1484375,-373028.8125,15442.7177734375,36215.3359375,-37947.2578125,14878.76953125,-5356.7939453125,11059.157466364999
-31543.61328125,14512.1259765625,22138.2109375,2478.830078125,25305.814453125,-6462.51513671875,-59417.3828125,-56502.546875,22132.232421875,-3032.80908203125,7752.28076171875,18241.07421875,-25197.68359375,44748.6875,-330626.96875,19004.978515625,10071.7041015625,-34565.6484375,954.0479736328125,-5574.56494140625,37244.1953125,16273.943359375,25956.322265625,-23341.814453125,-1940.1639404296875,35133.078125,-373042.46875,15441.15625,36230.98828125,-37954.140625,14899.05859375,-5362.44580078125,11059.159466365
-31520.75390625,14529.01953125,22192.34765625,2490.9169921875,25334.673828125,-6426.2822265625,-59394.140625,-56476.484375,22162.732421875,-2968.514892578125,7771.951171875,18279.02734375,-25219.205078125,44752.59375,-330598.15625,19025.310546875,9985.0478515625,-34542.18359375,968.4429931640625,-5551.076171875,37258.68359375,16292.5107421875,25912.384765625,-23315.21484375,-1902.1419677734375,35158.01171875,-373011.03125,15465.078125,36251.08984375,-37908.9296875,14900.998046875,-5316.2880859375,11059.161466365
-31509.787109375,14538.6953125,22213.751953125,2498.14990234375,25348.998046875,-6407.81201171875,-59381.91015625,-56462.796875,22174.65234375,-2943.422119140625,7782.31591796875,18282.767578125,-25263.927734375,44729.1953125,-330584.4375,19028.830078125,9922.236328125,-34536.5703125,943.958984375,-5540.27783203125,37260.109375,16288.134765625,25874.353515625,-23327.49609375,-1882.48095703125,35166.74609375,-372995.15625,15472.763671875,36242.4453125,-37885.73828125,14878.05078125,-5292.39697265625,11059.163466365
-31511.02734375,14541.7607421875,22195.626953125,2501.9140625,25346.376953125,-6414.16796875,-59381.05859375,-56463.59375,22166.763671875,-2963.69091796875,7783.615234375,18262.388671875,-25282.18359375,44711.78515625,-330591.125,19021.849609375,9933.48046875,-34544.87890625,917.4929809570312,-5545.919921875,37254.49609375,16273.921875,25878.6953125,-23352.728515625,-1888.470947265625,35162.34765625,-373002.75,15466.4404296875,36226.82421875,-37895.703125,14859.935546875,-5301.07177734375,11059.165466365
-31525.603515625,14532.27734375,22158.732421875,2497.294921875,25327.466796875,-6439.0908203125,-59392.9375,-56479.28515625,22148.123046875,-3004.40087890625,7773.8740234375,18239.88671875,-25261.19921875,44717.0,-330613.90625,19009.150390625,9993.4580078125,-34560.33203125,915.2009887695312,-5566.98583984375,37246.05078125,16265.060546875,25912.72265625,-23365.98046875,-1913.5880126953125,35149.15625,-373027.5,15452.7880859375,36218.9140625,-37927.26953125,14860.783203125,-5333.330078125,11059.167466365
-31530.533203125,14526.36328125,22170.806640625,2488.81298828125,25325.767578125,-6437.412109375,-59397.1953125,-56482.21875,22149.373046875,-2987.387939453125,7769.39990234375,18254.056640625,-25249.865234375,44727.13671875,-330617.0,19009.931640625,9986.998046875,-34560.3984375,932.8590087890625,-5572.05078125,37244.8359375,16271.736328125,25909.154296875,-23347.43359375,-1911.81201171875,35147.921875,-373030.4375,15453.91015625,36226.69921875,-37922.93359375,14867.4189453125,-5329.19921875,11059.169466365
-31523.658203125,14528.93359375,22202.19140625,2485.169921875,25338.009765625,-6419.73681640625,-59391.97265625,-56471.62109375,22161.43359375,-2946.51708984375,7772.48779296875,18267.27734375,-25287.900390625,44711.38671875,-330604.6875,19012.12890625,9908.0966796875,-34556.80859375,923.47900390625,-5563.89501953125,37240.37890625,16269.6162109375,25860.4375,-23343.638671875,-1889.6829833984375,35153.57421875,-373014.96875,15458.5302734375,36223.4296875,-37896.65234375,14849.63671875,-5299.85693359375,11059.171466365
-31516.837890625,14536.2880859375,22204.81640625,2492.759033203125,25347.1484375,-6412.63916015625,-59382.66015625,-56462.74609375,22165.400390625,-2944.131103515625,7780.55078125,18257.462890625,-25309.5078125,44697.87890625,-330599.34375,19013.1484375,9894.80859375,-34554.7578125,904.9010009765625,-5558.5048828125,37239.40234375,16262.4306640625,25853.375,-23358.318359375,-1879.112060546875,35158.82421875,-373008.53125,15461.861328125,36214.67578125,-37888.35546875,14835.87890625,-5289.7138671875,11059.173466365
-31526.298828125,14532.6298828125,22171.158203125,2493.68701171875,25334.28515625,-6430.77099609375,-59389.53125,-56472.875,22148.755859375,-2985.865966796875,7775.26806640625,18231.404296875,-25294.744140625,44697.20703125,-330615.3125,19004.21484375,9950.21484375,-34566.078125,896.4290161132812,-5573.43798828125,37233.3203125,16255.39453125,25885.830078125,-23376.357421875,-1898.22900390625,35151.203125,-373028.71875,15451.525390625,36205.17578125,-37914.49609375,14834.8642578125,-5314.1318359375,11059.175466364999
