time stamp,marker
3205913.618315644,[130]
3205914.119210879,[131]
3205914.118315644,[131]
3205914.619311711,[132]
3205914.618315644,[132]
3205915.119382275,[133]
3205915.119315644,[133]
3205915.619566252,[134]
3205915.619315644,[134]
3205916.119539084,[135]
3205916.119315644,[135]
3205916.619758069,[136]
3205916.619315644,[136]
3205917.120175801,[137]
3205917.119315644,[137]
3205917.62105229,[138]
3205917.620315644,[138]
3205918.121286591,[139]
3205918.120315644,[139]
3205918.621428996,[140]
3205918.621315644,[140]
3205919.121718363,[141]
3205919.121315644,[141]
3205919.621873166,[142]
3205919.621315644,[142]
3205920.122097986,[143]
3205920.121315644,[143]
3205920.622410693,[144]
3205920.622315644,[144]
3205921.123344435,[145]
3205921.123315644,[145]
3205921.623668811,[146]
3205921.623315644,[146]
3205922.123998656,[147]
3205922.123315644,[147]
3205922.624327043,[148]
3205922.624315644,[148]
3205923.124648866,[149]
3205923.124315644,[149]
3205923.624984547,[150]
3205923.624315644,[150]
3205924.125327156,[151]
3205924.124315644,[151]
3205924.625661013,[152]
3205924.625315644,[152]
3205925.125990494,[153]
3205925.125315644,[153]
3205925.626383064,[154]
3205925.626315644,[154]
3205926.12668483,[155]
3205926.126315644,[155]
3205926.627075211,[156]
3205926.626315644,[156]
3205927.127408703,[157]
3205927.127315644,[157]
3205927.627703541,[158]
3205927.627315644,[158]
3205928.128112885,[159]
3205928.127315644,[159]
3205928.628423403,[160]
3205928.628315644,[160]
3205929.128780234,[161]
3205929.128315644,[161]
3205929.629167698,[162]
3205929.628315644,[162]
3205930.129434456,[163]
3205930.129315644,[163]
3205930.629793111,[164]
3205930.629315644,[164]
3205931.130136449,[165]
3205931.129315644,[165]
3205931.630482705,[166]
3205931.630315644,[166]
3205932.130753109,[167]
3205932.130315644,[167]
3205932.631085872,[168]
3205932.630315644,[168]
3205933.13140806,[169]
3205933.131315644,[169]
3205933.631741188,[170]
3205933.631315644,[170]
3205934.132095467,[171]
3205934.131315644,[171]
3205934.632470167,[172]
3205934.632315644,[172]
3205935.13282481,[173]
3205935.132315644,[173]
3205935.633203887,[174]
3205935.632315644,[174]
3205936.133502371,[175]
3205936.133315644,[175]
3205936.633832946,[176]
3205936.633315644,[176]
3205937.134210564,[177]
3205937.133315644,[177]
3205937.634483156,[178]
3205937.634315644,[178]
3205938.134886301,[179]
3205938.134315644,[179]
