P7,P4,Cz,Pz,P3,P8,O1,O2,T8,F8,C4,F4,Fp2,Fz,C3,F3,Fp1,T7,F7,Oz,PO3,AF3,FC5,FC1,CP5,CP1,CP2,CP6,AF4,FC2,FC6,PO4,Timestamp
-8588.6279296875,-10621.9912109375,-12131.501953125,-11349.6669921875,-19758.779296875,-19747.080078125,-19347.591796875,-8891.841796875,-8231.4423828125,-8169.23388671875,-10422.181640625,-8595.7607421875,-19798.060546875,-19822.10546875,-19274.5390625,-19592.705078125,-7699.5478515625,-13351.1748046875,-14645.1611328125,-9745.1728515625,-9454.68359375,-9306.00390625,-12727.669921875,-9564.4091796875,-19738.76953125,-19584.599609375,-19367.1484375,-19009.265625,-11731.4287109375,-7609.8359375,-11973.763671875,-10780.9990234375,4767.665466365
-9026.7275390625,-11070.8232421875,-12586.8173828125,-11799.380859375,-19887.458984375,-19876.642578125,-19514.76171875,-9346.359375,-8662.119140625,-8592.5546875,-10873.6484375,-9049.6337890625,-19926.79296875,-19952.271484375,-19454.73828125,-19741.9765625,-8170.85400390625,-13801.7451171875,-15119.6435546875,-10193.1474609375,-9891.0185546875,-9749.2607421875,-13180.6416015625,-10020.296875,-19868.08984375,-19733.6796875,-19529.349609375,-19235.328125,-12196.8798828125,-8078.14990234375,-12437.634765625,-11231.171875,4767.667466365
-9612.271484375,-11691.1611328125,-13099.9697265625,-12427.353515625,-20067.654296875,-20069.515625,-19858.369140625,-9948.5869140625,-9293.119140625,-9315.7685546875,-11482.8525390625,-9651.857421875,-20107.732421875,-20142.306640625,-19813.7265625,-20001.060546875,-8606.4345703125,-14312.40234375,-15394.7607421875,-10817.1845703125,-10517.3359375,-10350.9013671875,-13789.8935546875,-10583.1201171875,-20049.212890625,-20015.9609375,-19846.650390625,-19736.740234375,-12731.72265625,-8543.8447265625,-12966.7197265625,-11849.1943359375,4767.669466365
-9472.8701171875,-11556.8408203125,-12918.625,-12295.94921875,-20030.7109375,-20052.3984375,-20033.908203125,-9801.2109375,-9175.890625,-9240.271484375,-11342.7265625,-9513.2822265625,-20070.73046875,-20119.5078125,-19994.41796875,-20068.9375,-8390.166015625,-14138.98046875,-15131.755859375,-10687.36328125,-10391.662109375,-10216.26171875,-13648.375,-10424.7177734375,-20013.806640625,-20119.517578125,-19987.484375,-20005.830078125,-12553.5009765625,-8340.8466796875,-12788.39453125,-11713.90234375,4767.671466365
-8871.4873046875,-10922.603515625,-12339.64453125,-11657.35546875,-19847.748046875,-19884.669921875,-19669.791015625,-9144.8232421875,-8546.64453125,-8555.58984375,-10713.751953125,-8919.6611328125,-19887.4609375,-19942.673828125,-19548.390625,-19815.11328125,-7866.27197265625,-13576.2265625,-14722.9580078125,-10053.9765625,-9761.6591796875,-9599.470703125,-13021.841796875,-9823.44921875,-19829.21484375,-19867.068359375,-19654.984375,-19257.95703125,-11964.83984375,-7796.0087890625,-12206.275390625,-11082.0078125,4767.6734663649995
-8572.4833984375,-10578.158203125,-12116.4541015625,-11303.392578125,-19743.154296875,-19696.623046875,-19019.060546875,-8841.759765625,-8182.041015625,-8064.01513671875,-10383.966796875,-8580.3447265625,-19783.591796875,-19774.560546875,-18947.984375,-19380.716796875,-7772.81201171875,-13367.2568359375,-14829.8935546875,-9705.134765625,-9408.4189453125,-9273.1103515625,-12693.84765625,-9554.150390625,-19723.619140625,-19330.447265625,-19074.244140625,-18666.7109375,-11736.3212890625,-7656.22900390625,-11989.4873046875,-10741.71484375,4767.675466365
-9281.583984375,-11296.287109375,-12842.5361328125,-12023.978515625,-19950.751953125,-19934.427734375,-19661.38671875,-9582.2353515625,-8877.7998046875,-8738.3037109375,-11106.158203125,-9290.244140625,-19990.28125,-20024.67578125,-19637.4140625,-19877.90234375,-8529.896484375,-14083.4658203125,-15582.0341796875,-10421.365234375,-10116.072265625,-9980.4287109375,-13413.09765625,-10279.9091796875,-19932.271484375,-19849.9296875,-19672.43359375,-19457.1875,-12478.3994140625,-8404.5673828125,-12734.392578125,-11460.5263671875,4767.677466364999
-10030.98828125,-12091.564453125,-13522.41015625,-12829.0859375,-20183.28515625,-20224.8984375,-20269.494140625,-10360.4853515625,-9685.1259765625,-9648.0595703125,-11887.79296875,-10062.2197265625,-20222.181640625,-20281.92578125,-20215.615234375,-20263.669921875,-9101.94140625,-14745.7119140625,-15959.9951171875,-11218.94921875,-10918.578125,-10749.921875,-14194.4677734375,-11003.60546875,-20165.361328125,-20339.37109375,-20212.548828125,-20238.005859375,-13173.052734375,-9015.1943359375,-13421.7939453125,-12252.3798828125,4767.679466365
-9840.3056640625,-11921.0166015625,-13290.431640625,-12661.44140625,-20135.328125,-20157.435546875,-20029.353515625,-10173.046875,-9532.369140625,-9567.9990234375,-11707.0517578125,-9875.484375,-20174.2421875,-20219.2578125,-19960.158203125,-20110.8125,-8786.49609375,-14509.8974609375,-15538.1015625,-11048.19921875,-10756.052734375,-10572.37109375,-14016.3330078125,-10790.0146484375,-20116.517578125,-20160.4765625,-19995.99609375,-19916.57421875,-12933.111328125,-8726.080078125,-13174.3095703125,-12078.267578125,4767.681466364999
-9173.646484375,-11239.888671875,-12645.2431640625,-11976.69140625,-19938.8046875,-19939.0546875,-19628.4375,-9491.1728515625,-8860.62890625,-8883.587890625,-11028.7724609375,-9198.1162109375,-19977.984375,-20009.25,-19552.05078125,-19818.283203125,-8136.98681640625,-13865.8623046875,-14929.591796875,-10367.357421875,-10078.65625,-9904.275390625,-13338.609375,-10123.1787109375,-19918.953125,-19831.95703125,-19629.763671875,-19353.23828125,-12265.6728515625,-8075.912109375,-12503.53515625,-11396.86328125,4767.683466365
-8579.5234375,-10610.9423828125,-12120.439453125,-11339.6484375,-19755.9765625,-19743.8828125,-19344.8125,-8880.6826171875,-8221.3916015625,-8159.60498046875,-10411.50390625,-8586.1318359375,-19795.373046875,-19818.927734375,-19271.58203125,-19589.787109375,-7688.13818359375,-13341.6806640625,-14635.501953125,-9735.0146484375,-9444.0322265625,-9295.869140625,-12718.576171875,-9554.75390625,-19735.908203125,-19581.05859375,-19363.6796875,-19006.17578125,-11721.0126953125,-7600.4130859375,-11961.6650390625,-10770.412109375,4767.685466365
-9033.89453125,-11077.439453125,-12590.939453125,-11806.1982421875,-19889.341796875,-19878.177734375,-19518.640625,-9354.3076171875,-8668.91796875,-8602.357421875,-10878.896484375,-9055.673828125,-19929.1953125,-19954.076171875,-19457.427734375,-19744.22265625,-8174.14794921875,-13806.611328125,-15121.0693359375,-10200.220703125,-9897.6123046875,-9756.4306640625,-13188.2421875,-10026.80078125,-19869.990234375,-19736.255859375,-19531.66015625,-19239.306640625,-12202.5654296875,-8083.31396484375,-12441.2548828125,-11237.158203125,4767.687466365
-9618.0771484375,-11697.1298828125,-13103.1826171875,-12432.341796875,-20069.0390625,-20070.31640625,-19861.5390625,-9956.7119140625,-9299.0986328125,-9321.9462890625,-11487.03515625,-9655.8642578125,-20108.6171875,-20144.294921875,-19816.423828125,-20003.091796875,-8607.7548828125,-14316.5224609375,-15395.4013671875,-10823.5361328125,-10522.734375,-10356.578125,-13795.19140625,-10586.580078125,-20050.970703125,-20018.80078125,-19849.76171875,-19741.318359375,-12734.4140625,-8547.6435546875,-12969.2392578125,-11854.2109375,4767.689466365
